id,layer,x,y
0,0,3.9726562500000013,3.630468750000002
1,0,98.140625,3.672656250000001
2,0,98.11953125000001,140.99921874999998
3,0,90.16875,140.93593750000002
4,0,3.9781250000000004,129.37031249999998
5,0,62.1015625,129.328125
6,0,62.022656250000004,140.89921875
7,0,68.52109375,140.83593750000003
8,0,3.9781250000000004,192.62890625000003
9,0,140.79921875,192.67109375
10,0,140.79921875,349.00234375
11,0,4.014843750000001,379.34296875000024
12,0,140.91875,379.40625000000006
13,0,140.8546875,371.53828125
14,0,140.8546875,387.9359375
15,0,4.064843750000001,472.98125
16,0,140.73671875,472.98125
17,0,140.77265625,410.1937499999999
18,0,140.790625,535.93046875
19,0,4.046875000000001,567.2382812500001
20,0,140.8546875,567.31015625
21,0,140.93671874999998,559.52421875
22,0,140.890625,574.72421875
23,0,4.0109375,660.33125
24,0,140.73671875,660.3953125
25,0,140.77265625,596.5921875
26,0,140.77265625,693.48046875
27,0,4.100781250000002,722.90859375
28,0,141.20859375,722.990625
29,0,141.20859375,715.83046875
30,0,141.2265625,730.93046875
31,0,4.075,817.01953125
32,0,141.0546875,817.0835937500001
33,0,140.990625,753.31640625
34,0,141.0546875,824.4875
35,0,4.0390625,911.1687499999998
36,0,129.47578124999998,911.2148437499999
37,0,129.4296875,852.49453125
38,0,140.97265625,852.4765625
39,0,140.97265625,846.69609375
40,0,191.42500000000004,911.1968749999999
41,0,191.43515625,773.36328125
42,0,255.21015625,773.38671875
43,0,278.70390625,773.5585937499999
44,0,285.35609374999996,773.5124999999998
45,0,285.44609375,911.2148437499999
46,0,378.91328125000007,911.1609374999999
47,0,378.90312499999993,773.4567187499998
48,0,316.4335937499999,773.45078125
49,0,293.57578125,773.55078125
50,0,442.72812500000003,773.3651562500004
51,0,472.9701562499997,911.1768750000005
52,0,473.0120312500001,773.4131250000005
53,0,466.28984375,773.4231250000005
54,0,479.97421875,773.4075
55,0,566.653125,911.1128125000007
56,0,566.77109375,773.4753124999997
57,0,503.6578125,773.49921875
58,0,660.51015625,911.1771874999996
59,0,660.5021875000001,773.55546875
60,0,722.70546875,773.59921875
61,0,754.103125,911.1710937500001
62,0,754.04921875,773.36328125
63,0,747.14296875,773.38125
64,0,760.9453125,773.4453125
65,0,815.80859375,911.1710937500001
66,0,815.790625,773.5890624999998
67,0,784.4828124999999,773.5990625000001
68,0,847.878125,773.5789062499999
69,0,879.0249999999997,911.1429687499999
70,0,879.08125,773.3249999999999
71,0,872.12109375,773.40703125
72,0,885.6875,773.41953125
73,0,940.896875,911.1609374999999
74,0,940.95078125,773.5609374999999
75,0,909.6890625,773.5609375
76,0,972.87421875,773.59921875
77,0,1003.5875,911.1710937500001
78,0,1003.5515625,773.4093749999998
79,0,997.09921875,773.3734374999999
80,0,1011.1375,773.41953125
81,0,1066.5726562500004,911.1429687499999
82,0,1066.6007812499997,773.3609374999999
83,0,1034.07734375,773.36328125
84,0,1128.62421875,911.1429687499999
85,0,1128.6062499999998,773.5093749999999
86,0,1121.68203125,773.4375
87,0,1097.9703125,773.35546875
88,0,1221.9734374999996,911.125
89,0,1222.0273437499998,773.51953125
90,0,1159.3757812500003,773.4734374999999
91,0,1136.18203125,773.45546875
92,0,1315.9921875,911.1429687499999
93,0,1316.0562499999996,773.4453124999999
94,0,1347.72578125,773.5375
95,0,1378.46953125,911.1890625000001
96,0,1378.46953125,773.6093749999999
97,0,1370.91953125,773.6734375
98,0,1385.4296875,773.61953125
99,0,1441.16484375,911.125
100,0,1441.1749999999995,773.55546875
101,0,1409.54921875,773.6734375
102,0,1472.34453125,773.6734375
103,0,1502.9984374999997,911.1609374999999
104,0,1503.0343749999997,773.40703125
105,0,1495.5203125,773.40703125
106,0,1510.26640625,773.425
107,0,1565.9914062500006,911.2148437499999
108,0,1565.9015625000002,773.6171875
109,0,1534.229687500001,773.56328125
111,0,1659.4945312500004,911.1710937500001
112,0,1659.4765625000002,773.4093749999998
113,0,1652.3625,773.3914062499999
114,0,1628.396875,773.6375
116,0,1666.16484375,773.3734374999999
117,0,1753.4609375,911.17890625
118,0,1753.5328125000003,785.38828125
119,0,1695.53828125,785.4703125
120,0,1695.4843749999998,773.4375
121,0,1689.99375,773.4375
122,0,1753.4710937499995,692.3734375000001
123,0,1616.49921875,692.4273437500001
124,0,1616.49453125,628.41953125
125,0,1616.5664062500002,605.2671875
126,0,1616.5304687500002,598.0429687499999
127,0,1753.4765625000014,598.0507812499998
128,0,1753.540625000001,504.3125
129,0,1616.5531250000004,504.43046875
130,0,1616.5351562500002,568.015625
131,0,1616.5531250000004,590.9015625
132,0,1616.5632812499998,472.6820312499999
133,0,1753.5148437500002,441.784375
134,0,1616.49921875,441.76640625000005
135,0,1616.46328125,448.7625
136,0,1616.49921875,434.48828125
137,0,1753.5328125000005,347.8609375
138,0,1616.5054687500005,347.8640624999999
139,0,1616.6023437499998,411.3515625000001
140,0,1616.5765625,285.640625
141,0,1753.60390625,254.37187500000002
142,0,1616.4249999999997,254.26875
143,0,1616.4281250000001,262.19296875
144,0,1616.4281250000001,247.50234375
145,0,1753.4749999999995,160.87343750000005
146,0,1616.628125,160.8671875
147,0,1616.5476562499994,223.22890625
148,0,1616.6054687500005,129.64765625
149,0,1753.446093749999,98.30156250000002
150,0,1616.2023437500002,98.27578125000001
151,0,1616.225,104.16171875
152,0,1616.1765625000003,91.20625
153,0,1753.4492187499995,3.7312500000000033
154,0,1627.97421875,3.7281250000000017
155,0,1628.0000000000002,62.310156250000006
156,0,1616.628125,62.26171875
157,0,1616.5349999999996,66.915625
158,0,1565.9500000000005,3.7703125000000006
159,0,1565.98109375,140.76874999999995
160,0,1502.17578125,140.74921875
161,0,1471.91015625,3.702343750000001
162,0,1471.9359375000001,141.04296874999991
163,0,1479.8570312499996,141.075
164,0,1464.86640625,141.00078125
165,0,1378.3765625,3.6765625
166,0,1378.50234375,140.92343749999998
167,0,1442.525,140.95234375
168,0,1345.740625,140.94921875
169,0,1315.8171875000003,3.64765625
170,0,1315.7914062500001,140.92343749999998
171,0,1323.5640625,140.95234375
172,0,1308.09296875,140.95234375
173,0,1253.57109375,3.6765625
174,0,1253.6453124999998,140.67187499999997
175,0,1286.4,140.70078125
176,0,1221.20625,140.72656250000003
177,0,1190.8890625000006,3.69609375
178,0,1190.8859375000002,140.6234375
179,0,1199.2359374999999,140.72656250000003
180,0,1182.91015625,140.72656250000003
181,0,1128.6976562500004,3.69921875
182,0,1128.5914062499994,140.875
183,0,1161.171875,140.90390625000003
184,0,1065.7546875000003,140.92656250000002
185,0,1034.9867187500001,3.6765625
186,0,1035.0093749999996,140.94921875
187,0,1043.38828125,140.92656250000002
188,0,1026.9109375,140.95234375
189,0,940.959375,3.64765625
190,0,940.959375,140.79765625
191,0,1003.65,140.77812500000005
192,0,847.2515625000002,3.6703125000000005
193,0,847.30625,140.49765625
194,0,784.25703125,140.5234375
195,0,753.9625,3.69609375
196,0,754.0109375,140.74921875
197,0,762.815625,140.74921875
198,0,746.6671875,140.80078125
199,0,660.3125,3.6765625
200,0,660.4156249999999,141.00078125
201,0,723.203125,141.04921875
202,0,627.609375,141.075
203,0,597.45703125,3.6734375
204,0,597.4859374999999,140.6234375
205,0,606.46484375,140.675
206,0,590.3164062499999,140.70078125
207,0,535.2460937500001,3.7507812499999997
208,0,535.2718750000001,140.87187499999996
209,0,566.8203125,140.85234375000002
210,0,472.0546875,140.74921875
211,0,441.5093750000002,3.69921875
212,0,441.4671874999999,140.85234375000002
213,0,449.48828125000006,140.95234375
214,0,433.69140625,140.77812500000005
215,0,378.9046875,3.69609375
216,0,378.95312500000006,140.67187499999997
217,0,410.97890625,140.64921875000002
218,0,316.1195312499999,140.72656250000003
219,0,285.42578125000006,3.7218750000000003
220,0,285.47734375,140.875
221,0,293.09843750000005,140.97812500000003
222,0,278.18203125,140.875
223,0,223.19531249999997,3.725
224,0,223.15,140.97187499999995
225,0,255.2984375,140.95234375
226,0,190.8984375,140.95234375
227,0,160.44609375000002,3.6734375
228,0,160.39765625,140.84921875
229,0,168.69609375,140.82343749999998
230,0,152.49609375,140.85234375000002
231,0,130.45390625,140.909375
232,0,180.50625,180.63125
233,0,288.296875,180.6046875
234,0,180.5375,395.5390625
235,0,318.0765625,395.5662499999996
236,0,414.2009375,395.54968749999944
237,0,424.9453125,395.55937499999976
238,0,414.240625,272.759375
239,0,414.2296874999999,180.72968749999998
240,0,346.87187499999993,180.77656249999998
241,0,317.4828124999999,272.7875000000001
242,0,317.54218749999995,180.6296875
243,0,322.425,180.6296875
244,0,313.1390624999999,180.64999999999998
245,0,180.4484375,272.8203125000002
246,0,420.3359375,180.81093749999997
247,0,414.14999999999986,242.671875
248,0,558.05625,242.671875
249,0,558.0546875,180.921875
250,0,443.4921875,180.921875
251,0,558.0593749999999,251.609375
252,0,446.9453125,395.5928124999999
253,0,558.0624999999999,395.42656249999993
254,0,558.0624999999999,275.4765625
255,0,180.51468749999998,432.47187500000007
256,0,180.58828125000002,535.7617187500001
257,0,210.08203125,535.8140625
258,0,409.81171874999984,535.7921875000002
259,0,409.85,432.6742187500001
260,0,401.809375,432.66875000000005
261,0,379.5,432.4015625000001
262,0,210.025,597.8250000000002
263,0,180.925,597.8
265,0,180.925,734.0000000000002
266,0,253.55,597.8
267,0,253.575,734.125
268,0,250.125,734.125
269,0,225.375,734.0749999999999
270,0,317.171875,734.0953125000001
271,0,348.06718750000005,597.76875
272,0,348.0023437499999,734.0218749999999
273,0,341.43828125,734.0289062499999
274,0,355.615625,733.9789062499999
275,0,410.20000000000016,597.75625
276,0,410.13515625,734.0164062499999
277,0,378.23984375,733.9656249999997
